id_trip,mode,distance_m,duration,weekday,morning,midday,afternoon,evening,midnight,lat,long
150744,2,9935.922336155078,862,1,1,0,0,0,0,45.550660999999934,-73.54531800000002
35763,2,6832.113936801096,1873,1,0,1,0,0,0,45.40898199999993,-73.47267300000001
323826,2,12233.968564277977,1165,1,0,1,0,0,0,45.610036999999934,-73.720401
375668,2,3612.405991352579,820,1,0,1,0,0,0,45.57874799999993,-73.545622
212877,2,26428.38519099125,1316,1,0,0,1,0,0,45.63243499999993,-73.31877600000001
14699,0,1275.0561616699142,1668,1,0,0,1,0,0,45.49897099999993,-73.566665
443357,0,650.6019552138763,1127,1,0,0,0,1,0,45.506419999999935,-73.57056700000003
256254,0,85.84445176075896,129,1,0,0,0,1,0,45.49448599999993,-73.55657099999998
142829,0,160.43572646223578,217,1,0,0,0,1,0,45.50402099999992,-73.57163000000003
256147,6,8329.579051559122,2254,1,0,0,0,1,0,45.56659099999993,-73.57616900000002
276155,3,7956.412449354263,1743,1,0,0,0,1,0,45.55038699999994,-73.563411
161711,3,3306.3836898068107,1932,1,0,0,0,1,0,45.47508799999992,-73.62325900000002
257884,3,347.2615193435038,110,1,0,0,0,1,0,45.550916999999934,-73.558836
327454,2,429.6968655593449,186,1,0,0,0,1,0,45.51811999999993,-73.62944600000002
74364,2,2635.61628395764,924,1,0,0,0,1,0,45.51724799999993,-73.636466
260567,0,4478.585678198162,2021,1,0,0,0,1,0,45.53858799999993,-73.577875
410129,2,4605.407007834789,569,1,0,0,0,1,0,45.53707199999993,-73.201936
205651,1,456.5224916648772,377,1,0,0,0,1,0,45.474398999999934,-73.60392299999998
17021,6,8234.376100032552,1292,1,0,0,0,1,0,45.509609999999924,-73.61315099999999
300397,2,2460.2517251507456,453,1,0,0,0,1,0,45.55844899999993,-73.722365
62976,2,1098.4745382523565,558,1,0,0,0,0,1,45.65143999999993,-73.50236100000002
285282,1,6999.225957231371,1887,1,0,0,0,0,1,45.540703999999934,-73.6132
107439,1,249.23776807807167,371,1,0,0,0,0,1,45.497832999999936,-73.619875
209312,2,5087.610175579319,779,1,0,0,0,0,1,45.56326499999992,-73.75161400000002
27836,2,33998.606196755216,2404,1,0,0,0,0,1,45.48416799999993,-73.806129
424306,0,1853.2360142933585,2316,1,0,0,0,0,1,45.516369999999924,-73.558086
