id_trip,Leisure_opened,Food_opened,Shopping_opened,Education_opened,Health_opened
7,0.0,0.0,0.0,0.0,0.0
148,0.0,0.0,0.0,0.0,0.0
502,0.0,0.0,0.0,0.0,0.0
585,0.0,0.0,0.0,0.0,0.0
715,0.0,0.0,0.0,0.0,1.0
743,0.0,0.0,0.0,0.0,0.2
838,0.0,0.0,0.0,0.0,0.0
857,0.0,1.0,0.0,0.0,0.0
863,0.0,0.0,0.0,0.0,0.0
871,0.0,0.0,0.0,0.0,0.0
917,0.0,1.0,0.0,0.0,0.0
1078,0.0,0.5,0.0,0.0,0.0
1113,0.0,0.0,0.0,0.0,0.0
1269,0.0,0.0,0.0,0.0,0.0
1452,0.0,0.5,0.0,0.0,0.0
1596,0.16666666666666666,0.5,0.0,0.0,0.0
1750,0.0,0.5,0.0,0.0,0.0
1837,0.0,0.0,0.0,0.0,0.0
1847,0.0,0.0,0.0,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.0
2067,1.0,0.0,0.0,0.0,0.0
2247,0.0,0.0,0.0,0.0,0.0
2296,0.0,0.0,0.0,0.0,0.0
2312,0.0,0.0,0.0,0.0,0.0
2412,0.5,0.0,0.0,0.0,0.0
2416,0.0,0.3333333333333333,0.0,0.0,0.0
2549,0.0,0.0,0.0,0.0,0.0
2687,0.0,0.0,0.0,0.0,0.0
2695,0.0,0.0,0.0,0.0,0.0
2716,0.0,0.125,0.0,0.0,0.0
2983,0.0,0.0,0.0,0.0,0.0
2991,0.5,0.0,0.0,0.0,0.0
3254,0.0,0.5,0.5,0.0,0.0
3334,0.0,0.0,1.0,0.0,0.0
3382,0.0,1.0,0.0,0.0,0.0
3492,0.0,0.0,0.0,0.0,0.0
3574,0.0,0.0,0.0,0.0,0.0
3606,0.16666666666666666,0.0,0.0,0.0,0.0
3612,0.0,0.0,0.0,0.0,0.5
3635,1.0,0.0,0.0,0.0,0.0
3767,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
