id_trip,long,lat
256147,-73.57616900000001,45.56659099999993
17021,-73.61315099999999,45.509609999999924
2991,-73.56181800000002,45.51218599999995
88682,-73.62003399999999,45.540359999999936
29051,-73.580129,45.50822599999994
193932,-73.55332700000001,45.50915499999993
135816,-73.581692,45.51801499999993
242841,-73.555604,45.519069999999914
475300,-73.56656,45.50673899999994
396581,-73.582813,45.523934999999945
123082,-73.564167,45.527014999999935
385732,-73.56002899999999,45.512197999999934
440638,-73.54482700000001,45.55139299999993
85601,-73.57689099999997,45.48811899999993
4285,-73.552993,45.54428999999992
5152,-73.586834,45.519594999999924
69251,-73.551211,45.54131099999992
179900,-73.552777,45.52422699999993
184475,-73.668971,45.553670999999916
6545,-73.693208,45.54446299999993
61929,-73.55755299999997,45.57269799999994
238965,-73.553225,45.55124999999992
35900,-73.668971,45.553670999999916
3097,-73.580202,45.59649599999993
6463,-73.601799,45.47824499999993
341931,-73.560837,45.51257499999992
96670,-73.62877499999999,45.48562999999993
451289,-73.619814,45.50360599999992
465531,-73.564551,45.46408299999993
375062,-73.571619,45.49736899999992
243691,-73.586367,45.52011799999992
83212,-73.56702399999999,45.46278699999991
40026,-73.58664300000001,45.489443999999935
472534,-73.56181800000002,45.51218599999995
182346,-73.588747,45.47273999999993
283780,-73.554455,45.554637999999926
415641,-73.65384899999998,45.49733599999994
282937,-73.603269,45.52616899999993
266365,-73.560508,45.513730999999915
400159,-73.61755800000002,45.496763999999935
350351,-73.571952,45.45625099999993
295003,-73.577844,45.495046999999936
256093,-73.61883900000001,45.50326299999992
123523,-73.62043800000001,45.52989799999993
389650,-73.562505,45.52254999999992
314766,-73.569309,45.51904499999994
35901,-73.567284,45.50983399999992
56613,-73.559686,45.51464899999991
373942,-73.58660500000002,45.489478999999946
123822,-73.57230900000003,45.49870399999993
404430,-73.859657,45.48397199999993
278711,-73.86586000000001,45.48183199999993
47178,-73.652999,45.49495399999994
44888,-73.56342400000003,45.51034199999992
313725,-73.658659,45.53088599999993
371879,-73.63859300000001,45.503684999999926
186977,-73.561677,45.50886899999993
68202,-73.577577,45.54364199999992
475624,-73.53233800000001,45.38621199999994
96662,-73.578123,45.54302199999993
445721,-73.65448899999998,45.55380099999994
167090,-73.57689099999997,45.48811899999993
79241,-73.60607200000001,45.53284999999993
205639,-73.564393,45.500395999999945
257377,-73.605529,45.52368099999993
7395,-73.550247,45.52814299999992
202110,-73.56796500000003,45.51582399999993
302342,-73.57312200000001,45.50247499999991
440112,-73.564912,45.511056999999944
1269,-73.551405,45.52366599999993
211405,-73.57163,45.45934899999993
140599,-73.717696,45.53337199999994
369211,-73.61976299999999,45.52970599999993
414216,-73.56136000000001,45.494772999999924
182923,-73.550964,45.54760699999993
362477,-73.56181800000002,45.51218599999995
262732,-73.59994200000003,45.55981299999994
138979,-73.619968,45.53540099999992
140645,-73.568331,45.504717999999926
445353,-73.59330000000003,45.52251499999993
249462,-73.618116,45.50271499999993
43587,-73.55932700000002,45.50267399999993
339199,-73.556983,45.50448999999993
258699,-73.595058,45.51833999999993
354224,-73.622354,45.536248999999934
228036,-73.968178,45.42102199999991
17946,-73.64352600000001,45.589536999999936
358637,-73.586367,45.52011799999992
237640,-73.557527,45.52499099999993
190206,-73.562637,45.51190099999993
186993,-73.569747,45.49945399999994
360600,-73.60372000000001,45.535431999999936
149173,-73.575031,45.500557999999934
342300,-73.59893099999998,45.525847999999925
185727,-73.655896,45.55091899999993
463268,-73.670779,45.43355699999993
130694,-73.57211,45.49962499999992
102173,-73.60215,45.455706999999926
381483,-73.63393399999998,45.49551299999993
