name,opening_hours,amenity,tourism,shop,healthcare,leisure,sport,craft,building,geometry
Cha Do Raku,Su 13:00-18:00; Mo 13:00-20:00; Th-Sa 13:00-22:00,,,tea,,,,,,POINT (-73.5831474 45.5263884)
Fruiterie Muscat,Sa-We 08:00-20:00; Th-Fr 08:00-21:00,,,supermarket,,,,,,POINT (-73.5882999 45.5262457)
Bino,Mo-Fr 10:00-19:00; Sa 10:00-18:00,,,supermarket,,,,,,POINT (-73.60603759999999 45.5492453)
Winners,Mo-Fr 09:30-21:00; Sa 09:00-17:00; Su 10:00-17:00,,,,,,,,,POINT (-73.5897904 45.5702704)
Bouclair,"Mo,Tu 09:30-18:00; We-Fr 09:30-21:00; Sa 09:00-17:00; Su 10:00-17:00",,,doityourself,,,,,,POINT (-73.5895549 45.5705267)
Chaussures Rubino,"Mo-We 10:00-18:00; Th,Fr 10:00-21:00; Sa 09:00-17:00; Su 12:00-17:00",,,shoes,,,,,,POINT (-73.5894626 45.5706272)
Pizza Rodi,"Su-We 11:00-22:00,Th-Sa 11:00-23:00",fast_food,,,,,,,,POINT (-73.6289013 45.4843131)
Le lavoir d'Outremont,08:00-23:00,,,laundry,,,,,,POINT (-73.6106274 45.5210843)
Galanga Bistro Thaï,"Mo-Fr 11:30-14:30,17:00-22:00; Sa-Su 17:00-22:00",restaurant,,,,,,,,POINT (-73.6106649 45.5210335)
Le Courses de Lajoie,Mo-Fr 8:30-23:00; Sa 9:30-23:00; Su 10:30-23:00,,,convenience,,,,,,POINT (-73.6107212 45.520996)
Futago Sushi,"Mo-Sa 11:00-21:00, Su 16:00-21:00",restaurant,,,,,,,,POINT (-73.6072384 45.542466)
L'Étagère Gourmande,Mo-Fr 08:00-19:00; Sa-Su 10:00-19:00,restaurant,,,,,,,,POINT (-73.5845376 45.5184058)
Caisse Portugaise,"Mo,Tu 09:30-15:00; We 09:30-17:30; Th 09:30-18:00; Fr 09:30-16:00",bank,,,,,,,,POINT (-73.58285600000001 45.5183568)
Montreal Poutine,Su-Th 10:00-24:00;Fr-Sa 10:00-03:00,fast_food,,,,,,,,POINT (-73.5528417 45.5071113)
Shell,Mo-Su 00:00-24:00,fuel,,,,,,,,POINT (-73.5770991 45.543817)
Caffe ArtJava,Mo-Fr 07:00-19:00; Sa-Su 09:00-18:00,cafe,,,,,,,,POINT (-73.5724408 45.5046362)
Mile End Bike Garage,Mo-Fr 19:00-22:00,,,bicycle,,,,,,POINT (-73.60789200000001 45.5275483)
Restaurant Lafleur,"Su,Mo 10:30-24:00, Tu-Th 10:30-04:30, Fr,Sa 10:30-05:00",fast_food,,,,,,,,POINT (-73.5699106 45.5178476)
Rio,"Mo-We 11:00-18:00; Th,Fr 11:00-21:00; Sa 10:30-17:00; Su 11:30-17:00",,,shoes,,,,,,POINT (-73.5685107 45.5174688)
Consulat général d'Allemagne,Mo-Fr 9:00-12:00,embassy,,,,,,,,POINT (-73.57106760000001 45.4974045)
Java u,Mo-Th 07:00-21:00; Fr 07:00-20:00; Sa-Su 08:00-20:00,cafe,,,,,,,,POINT (-73.5729096 45.5053767)
Stash Café,,restaurant,,,,,,,,POINT (-73.55521659999999 45.5026391)
Mamie Clafoutis,Mo-Fr 06:30-20:00; Sa 07:30-20:00; Su 07:30-19:30,,,bakery,,,,,,POINT (-73.5702939 45.5180206)
Atomic Café,Mo-Fr 08:00-23:59; Sa-Su 09:00-23:59,cafe,,,,,,,,POINT (-73.5445533 45.5452748)
McDonald's,24/7,fast_food,,,,,,,,POINT (-73.576886 45.49562)
RBC Banque Royale,Mo-We 09:00-17:00; Th 09:00-20:00; Fr 09:00-18:00; Sa 09:00-16:00; PH off,bank,,,,,,,,POINT (-73.580268 45.4962359)
Jean Coutu,"Mo-Fr 09:00-22:00; Sa,Su 09:00-21:00",pharmacy,,,pharmacy,,,,,POINT (-73.5671749 45.462988)
Pharmaprix,"Mo-Fr 09:00-22:00; Sa,Su 09:00-21:00",pharmacy,,,pharmacy,,,,,POINT (-73.5669669 45.4611966)
Jean Coutu,"Mo-Fr 08:00-22:00, Sa,Su 09:00-21:00",pharmacy,,,pharmacy,,,,,POINT (-73.5718056 45.4554155)
PFK,"Mo,We 10:30-22:00, Tu,Th-Sa 10:30-23:00, Su 11:00-22:00",fast_food,,,,,,,,POINT (-73.5545628 45.541261)
Miami,24/7,restaurant,,,,,,,,POINT (-73.55759740000001 45.542025)
L'anecdote,Sa 09:00-22:00; Su 09:00-21:00; Tu-Fr 11:00-22:00; Mo 11:00-21:00,restaurant,,,,,,,,POINT (-73.5766234 45.5236819)
Maxi,08:00-22:00,,,supermarket,,,,,,POINT (-73.5592925 45.5409731)
Bistro Part Ici,Tu-Fr 07:00-02:00; Sa-Su 21:00-02:00,restaurant,,,,,,,,POINT (-73.5626721 45.5429306)
Canadian Tire,"Mo-Fr 08:00-21:00, Sa,Su 08:00-17:00",,,department_store,,,,,,POINT (-73.5611164 45.5421003)
Nori,"Mo Closed, Tu-Fr 11:30-22:00, Sa 16:00-23:00, Su 16:00-22:00",restaurant,,,,,,,,POINT (-73.5606578 45.5414652)
TD Canada Trust,"Mo-We 08:00-18:00, Th,Fr 08:00-20:00, Sa 08:00-16:00",bank,,,,,,,,POINT (-73.5603146 45.5413619)
