precipitation,temperature,dt
4.98616403714347e-07,16.168005452495095,2017-09-20 11:00:00
9.972328074321635e-07,17.53791899885482,2017-09-20 12:00:00
3.4903148260108374e-06,19.70141773231734,2017-09-20 13:00:00
3.9889312297251844e-06,21.154606191817265,2017-09-20 14:00:00
4.4875476334395314e-06,22.672518222421104,2017-09-20 15:00:00
8.476478863168185e-06,23.700674823270106,2017-09-20 16:00:00
1.2964026496607717e-05,24.29802803683475,2017-09-20 17:00:00
2.0941888956061555e-05,24.313693614554154,2017-09-20 18:00:00
2.5928052993218903e-05,23.61533864990372,2017-09-20 19:00:00
2.792251860807976e-05,23.746022548247424,2017-09-20 20:00:00
2.792251860807976e-05,23.491250784284034,2017-09-20 21:00:00
2.792251860807976e-05,22.7999041044028,2017-09-20 22:00:00
2.792251860807976e-05,21.24241587745513,2017-09-20 23:00:00
2.792251860807976e-05,20.19859369888667,2017-09-21 00:00:00
0.0,19.47220559515938,2017-09-21 01:00:00
0.0,18.944110725196424,2017-09-21 02:00:00
0.0,18.555769298572613,2017-09-21 03:00:00
0.0,18.134035456283698,2017-09-21 04:00:00
0.0,17.70323206899934,2017-09-21 05:00:00
0.0,17.200284573796523,2017-09-21 06:00:00
0.0,16.827608724892173,2017-09-21 07:00:00
0.0,16.350633108540023,2017-09-21 08:00:00
0.0,16.006814902803,2017-09-21 09:00:00
0.0,15.635788062079655,2017-09-21 10:00:00
0.0,15.284961571573433,2017-09-21 11:00:00
0.0,15.99073707303836,2017-09-21 12:00:00
0.0,17.50535108728019,2017-09-21 13:00:00
0.0,19.092109209440537,2017-09-21 14:00:00
0.0,20.780693586777147,2017-09-21 15:00:00
0.0,22.21780421651232,2017-09-21 16:00:00
0.0,23.22782172737044,2017-09-21 17:00:00
0.0,23.749732816654614,2017-09-21 18:00:00
0.0,24.276178678436565,2017-09-21 19:00:00
0.0,24.02099466242794,2017-09-21 20:00:00
0.0,23.24637306940656,2017-09-21 21:00:00
0.0,21.738355087888692,2017-09-21 22:00:00
0.0,19.91620104789166,2017-09-21 23:00:00
0.0,18.57432064060879,2017-09-22 00:00:00
0.0,17.61047535881852,2017-09-22 01:00:00
0.0,16.90593661348936,2017-09-22 02:00:00
0.0,16.258700902449675,2017-09-22 03:00:00
0.0,15.718238471129268,2017-09-22 04:00:00
0.0,15.242499610912887,2017-09-22 05:00:00
0.0,14.7791283120539,2017-09-22 06:00:00
0.0,14.443555147221844,2017-09-22 07:00:00
0.0,13.853622470471691,2017-09-22 08:00:00
0.0,13.350262723223636,2017-09-22 09:00:00
0.0,12.924406360482294,2017-09-22 10:00:00
0.0,12.48783144456445,2017-09-22 11:00:00
0.0,13.511041020870437,2017-09-22 12:00:00
9.972328074321635e-07,16.612000905227376,2017-09-22 13:00:00
9.972328074321635e-07,18.78374467959486,2017-09-22 14:00:00
9.972328074321635e-07,20.42945484422569,2017-09-22 15:00:00
9.972328074321635e-07,21.738355087888692,2017-09-22 16:00:00
9.972328074321635e-07,22.766511688737694,2017-09-22 17:00:00
1.4958492111465105e-06,23.51186338654645,2017-09-22 18:00:00
1.4958492111465105e-06,23.807448102989383,2017-09-22 19:00:00
1.4958492111465105e-06,23.722111929622997,2017-09-22 20:00:00
1.4958492111465105e-06,23.07075369813083,2017-09-22 21:00:00
1.4958492111465105e-06,21.902019149852208,2017-09-22 22:00:00
1.4958492111465105e-06,20.47933734170067,2017-09-22 23:00:00
1.4958492111465105e-06,19.206715278019544,2017-09-23 00:00:00
0.0,17.89616602617548,2017-09-23 01:00:00
0.0,17.835152723478757,2017-09-23 02:00:00
0.0,16.527901487996758,2017-09-23 03:00:00
0.0,15.461405446939636,2017-09-23 04:00:00
0.0,14.766348498651212,2017-09-23 05:00:00
0.0,14.446028659493379,2017-09-23 06:00:00
0.0,13.816932038444634,2017-09-23 07:00:00
0.0,13.631418618082932,2017-09-23 08:00:00
0.0,13.7101587587253,2017-09-23 09:00:00
0.0,13.715930287358788,2017-09-23 10:00:00
0.0,13.846201933657255,2017-09-23 11:00:00
0.0,14.930837064705258,2017-09-23 12:00:00
0.0,17.469485159343606,2017-09-23 13:00:00
4.98616403714347e-07,20.19612018661519,2017-09-23 14:00:00
4.98616403714347e-07,22.12381075019573,2017-09-23 15:00:00
4.98616403714347e-07,23.731181474618438,2017-09-23 16:00:00
4.98616403714347e-07,24.695026756408765,2017-09-23 17:00:00
4.98616403714347e-07,25.381426411746986,2017-09-23 18:00:00
4.98616403714347e-07,26.675897833826298,2017-09-23 19:00:00
4.98616403714347e-07,26.72083330675838,2017-09-23 20:00:00
4.98616403714347e-07,26.170889078397295,2017-09-23 21:00:00
4.98616403714347e-07,24.612988599404332,2017-09-23 22:00:00
4.98616403714347e-07,23.607918113089227,2017-09-23 23:00:00
4.98616403714347e-07,22.568218454973305,2017-09-24 00:00:00
0.0,21.962620200503693,2017-09-24 01:00:00
0.0,21.592005611825584,2017-09-24 02:00:00
0.0,21.153369435681498,2017-09-24 03:00:00
0.0,20.791412139953593,2017-09-24 04:00:00
0.0,20.52550957076852,2017-09-24 05:00:00
0.0,20.29341166929379,2017-09-24 06:00:00
0.0,19.956601748325966,2017-09-24 07:00:00
0.0,19.666788560516522,2017-09-24 08:00:00
0.0,19.56990932988316,2017-09-24 09:00:00
0.0,19.421086341548573,2017-09-24 10:00:00
0.0,19.347293225449164,2017-09-24 11:00:00
0.0,20.101714468253363,2017-09-24 12:00:00
9.972328074321635e-07,22.19059558152594,2017-09-24 13:00:00
9.972328074321635e-07,23.66068637488104,2017-09-24 14:00:00
9.972328074321635e-07,24.97206013081552,2017-09-24 15:00:00
9.972328074321635e-07,26.25416399153744,2017-09-24 16:00:00
9.972328074321635e-07,27.321484536684977,2017-09-24 17:00:00
9.972328074321635e-07,28.106412430837565,2017-09-24 18:00:00
9.972328074321635e-07,28.880209519768414,2017-09-24 19:00:00
1.4958492111465105e-06,28.82496774570518,2017-09-24 20:00:00
1.4958492111465105e-06,28.267190728484366,2017-09-24 21:00:00
1.4958492111465105e-06,27.2006946874273,2017-09-24 22:00:00
1.4958492111465105e-06,25.904986509212222,2017-09-24 23:00:00
1.4958492111465105e-06,24.750680782517236,2017-09-25 00:00:00
