Feature,Importance
weekday,0.031857
midnight,0.029087
mode,0.024816
G_EDU,0.022584
G_STORE,0.020122
midday,0.015274
distance_m,0.011928
duration,0.011773
G_LEISURE,0.010542
G_FOOD,0.009734
G_HEALTH,0.006194
G_BAR,0.005309
G_TRANS,0.005194
evening,0.005002
G_AUTO,0.003193
G_MONEY,0.00277
afternoon,0.002462
G_IMPROVE,0.001616
G_LODGE,0.001231
G_CARE,0.000962
morning,0.000808
G_CIVIC,0.000462
G_RELIGION,0.000154
